CME,t0,dt0,pa,da,v,dv,minv,maxv,halo?,datetime
"<a href=""CME0054/CME.html"" target=""_blank"" >0054</a>",2025/03/14 03:04,01,210,006,0779,0206,0595,1117,,2025-03-14 03:04:00
"<a href=""CME0053/CME.html"" target=""_blank"" >0053</a>",2025/03/14 01:40,01,053,024,0758,0194,0471,1096,,2025-03-14 01:40:00
"<a href=""CME0052/CME.html"" target=""_blank"" >0052</a>",2025/03/13 16:48,01,024,018,0554,0097,0395,0671,,2025-03-13 16:48:00
"<a href=""CME0051/CME.html"" target=""_blank"" >0051</a>",2025/03/13 09:48,01,220,006,0252,0092,0159,0393,,2025-03-13 09:48:00
"<a href=""CME0050/CME.html"" target=""_blank"" >0050</a>",2025/03/13 01:48,02,200,018,1953,0223,1562,2016,,2025-03-13 01:48:00
"<a href=""CME0049/CME.html"" target=""_blank"" >0049</a>",2025/03/11 23:24,01,040,010,0726,0086,0651,0892,,2025-03-11 23:24:00
"<a href=""CME0048/CME.html"" target=""_blank"" >0048</a>",2025/03/11 21:36,01,310,014,0261,0112,0160,0520,,2025-03-11 21:36:00
"<a href=""CME0047/CME.html"" target=""_blank"" >0047</a>",2025/03/11 19:00,01,013,012,0254,0135,0184,0512,,2025-03-11 19:00:00
"<a href=""CME0046/CME.html"" target=""_blank"" >0046</a>",2025/03/11 17:00,01,041,012,0664,0186,0332,0961,,2025-03-11 17:00:00
"<a href=""CME0045/CME.html"" target=""_blank"" >0045</a>",2025/03/11 16:48,01,045,008,0556,0356,0529,1159,,2025-03-11 16:48:00
"<a href=""CME0044/CME.html"" target=""_blank"" >0044</a>",2025/03/10 10:00,02,233,016,0388,0039,0315,0440,,2025-03-10 10:00:00
"<a href=""CME0043/CME.html"" target=""_blank"" >0043</a>",2025/03/10 08:36,01,192,014,0446,0033,0372,0466,,2025-03-10 08:36:00
"<a href=""CME0042/CME.html"" target=""_blank"" >0042</a>",2025/03/10 04:12,02,194,014,1473,0505,0753,1953,,2025-03-10 04:12:00
"<a href=""CME0041/CME.html"" target=""_blank"" >0041</a>",2025/03/09 12:48,01,031,012,0689,0147,0499,0892,,2025-03-09 12:48:00
"<a href=""CME0040/CME.html"" target=""_blank"" >0040</a>",2025/03/08 22:24,02,067,028,0538,0260,0252,1116,,2025-03-08 22:24:00
